ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
19762,MUSI,3050,002,Lecture,"3","Molly Joyce","MoWeFr 1:00pm - 1:50pm","Old Cabell Hall 113","Music and Discourse Since 1900","",Open,19,20,0
14732,MUSI,3060,001,Lecture,"3","JoVia Armstrong, Alonya Castillo","TuTh 9:30am - 10:45am","Old Cabell Hall B012","Motown vs Everybody: The Good, The Bad, The Ugly","",Wait List,20,20,2
11778,MUSI,3310,001,Lecture,"3","John Michael Walker","MoWeFr 9:00am - 9:50am","Old Cabell Hall B012","Theory I","",Open,15,20,0
14413,MUSI,3310,002,Lecture,"3","Neda Nadim","MoWeFr 11:00am - 11:50am","Old Cabell Hall B012","Theory I","",Wait List,19,20,4
11988,MUSI,3320,001,Lecture,"3","Michael Puri","TuTh 9:30am - 10:45am","Old Cabell Hall 107","Theory II","",Open,16,20,0
19775,MUSI,3374,100,SEM,"3","A.D. Carson","TuTh 9:30am - 10:45am","New Cabell Hall 398","Composing Mixtapes","",Closed,16,15,0
19776,MUSI,3374,101,Laboratory,"0","Varun Kishore","Mo 9:00am - 9:50am","New Cabell Hall 398","Composing Mixtapes","",Open,5,8,0
19777,MUSI,3374,102,Laboratory,"0","Varun Kishore","Mo 10:00am - 10:50am","New Cabell Hall 398","Composing Mixtapes","",Open,7,8,0
19778,MUSI,3374,103,Laboratory,"0","Varun Kishore","Mo 11:00am - 11:50am","New Cabell Hall 398","Composing Mixtapes","",Open,4,8,0
14101,MUSI,3400,001,SEM,"3","Matthew Burtner, Gabrielle Cerberville","TuTh 2:00pm - 3:15pm","Old Cabell Hall 107","Ecoacoustics","",Open,19,20,0
13072,MUSI,3510,001,SEM,"3","Nomi Dave","TuTh 9:30am - 10:45am","Wilson Hall 117","Music and Community Engagement I","Sound Justice as Community Engagement",Open,14,15,0
19486,PHIL,1000,100,Lecture,"3","Jordan MacKenzie","MoWe 9:00am - 9:50am","Monroe Hall 110","Introduction to Philosophy","",Open,57,60,2
19487,PHIL,1000,101,Discussion,"0","John Mancini","Th 6:00pm - 6:50pm","Cocke Hall 101","Introduction to Philosophy","",Open,19,20,1
19488,PHIL,1000,102,Discussion,"0","John Mancini","Th 7:00pm - 7:50pm","New Cabell Hall 211","Introduction to Philosophy","",Wait List,20,20,1
19489,PHIL,1000,103,Discussion,"0","John Mancini","Th 8:00pm - 8:50pm","New Cabell Hall 411","Introduction to Philosophy","",Open,18,20,0
14490,PHIL,1330,100,Lecture,"3","Ross Cameron","TuTh 8:00am - 8:50am","Wilson Hall 301","Virtual Worlds and Philosophy","",Wait List,119,120,8
14491,PHIL,1330,101,Discussion,"0","Yucheng Li","Fr 8:00am - 8:50am","New Cabell Hall 211","Virtual Worlds and Philosophy","",Wait List,20,20,2
14492,PHIL,1330,102,Discussion,"0","Yucheng Li","Fr 9:00am - 9:50am","Pavilion VIII 102","Virtual Worlds and Philosophy","",Wait List,20,20,1
14493,PHIL,1330,103,Discussion,"0","Yucheng Li","Fr 12:00pm - 12:50pm","Kerchof Hall 317","Virtual Worlds and Philosophy","",Wait List,20,20,1
19482,PHIL,1330,104,Discussion,"0","Dakota Jones","Fr 11:00am - 11:50am","Pavilion VIII 102","Virtual Worlds and Philosophy","",Wait List,20,20,3
19483,PHIL,1330,105,Discussion,"0","Dakota Jones","Fr 12:00pm - 12:50pm","Pavilion VIII 102","Virtual Worlds and Philosophy","",Wait List,20,20,0
